model,ticker,horizon,DA,IC,IC_pval,RMSE,MAE,n_obs
ARIMAX,HDFCBANK.NS,1,0.4286,-0.0494,0.803,0.058602,0.044757,28
ARIMAX,HDFCBANK.NS,3,0.3846,-0.163,0.4264,0.061261,0.04639,26
ARIMAX,HDFCBANK.NS,6,0.2609,-0.3589,0.0926,0.063871,0.050526,23
ARIMAX,HDFCBANK.NS,12,0.3529,-0.153,0.5577,0.066635,0.050578,17
ARIMAX,BHARTIARTL.NS,1,0.6429,0.3213,0.0955,0.048581,0.039127,28
VARX,BHARTIARTL.NS,1,0.4643,-0.1758,0.3709,0.062097,0.052988,28
ARIMAX,BHARTIARTL.NS,3,0.6154,0.1192,0.562,0.051974,0.043985,26
VARX,BHARTIARTL.NS,3,0.6154,0.0727,0.724,0.053936,0.046875,26
ARIMAX,BHARTIARTL.NS,6,0.4783,0.1977,0.3658,0.053019,0.043918,23
VARX,BHARTIARTL.NS,6,0.4783,0.1484,0.4991,0.056498,0.047722,23
ARIMAX,BHARTIARTL.NS,12,0.4118,-0.004,0.988,0.060764,0.054229,17
VARX,BHARTIARTL.NS,12,0.4118,-0.0859,0.743,0.063513,0.05816,17
ARIMAX,APOLLOHOSP.NS,1,0.3571,-0.1797,0.3602,0.077746,0.065963,28
ARIMAX,APOLLOHOSP.NS,3,0.4231,0.0013,0.9948,0.071846,0.060134,26
ARIMAX,APOLLOHOSP.NS,6,0.6522,0.089,0.6865,0.071672,0.053597,23
ARIMAX,APOLLOHOSP.NS,12,0.4118,-0.2268,0.3814,0.088336,0.072396,17
ARIMAX,BIOCON.NS,1,0.5357,-0.0048,0.9806,0.101004,0.080772,28
ARIMAX,BIOCON.NS,3,0.4615,-0.1828,0.3713,0.108319,0.089597,26
ARIMAX,BIOCON.NS,6,0.5652,0.104,0.6369,0.100801,0.082374,23
ARIMAX,BIOCON.NS,12,0.5294,-0.0917,0.7264,0.108308,0.081002,17
ARIMAX,JSWENERGY.NS,1,0.6071,0.0622,0.7533,0.163548,0.122485,28
ARIMAX,JSWENERGY.NS,3,0.5769,-0.1074,0.6014,0.174111,0.134967,26
ARIMAX,JSWENERGY.NS,6,0.4783,-0.0628,0.776,0.172572,0.139629,23
ARIMAX,JSWENERGY.NS,12,0.5882,-0.2497,0.3337,0.194353,0.142231,17
ARIMAX,SUDARSCHEM.NS,1,0.1786,-0.5372,0.0032,0.181974,0.157637,28
VARX,SUDARSCHEM.NS,1,0.3929,-0.2318,0.2352,0.127165,0.108716,28
ARIMAX,SUDARSCHEM.NS,3,0.3462,-0.1659,0.4178,0.159189,0.131982,26
VARX,SUDARSCHEM.NS,3,0.4231,-0.1538,0.4532,0.116675,0.098631,26
ARIMAX,SUDARSCHEM.NS,6,0.6087,0.3386,0.114,0.123839,0.109894,23
VARX,SUDARSCHEM.NS,6,0.4348,-0.1648,0.4525,0.119207,0.102925,23
ARIMAX,SUDARSCHEM.NS,12,0.2941,-0.0599,0.8194,0.154552,0.12954,17
VARX,SUDARSCHEM.NS,12,0.2353,-0.3835,0.1286,0.132522,0.119783,17
ARIMAX,AEGISLOG.NS,1,0.3571,-0.1055,0.5932,0.166697,0.135713,28
VARX,AEGISLOG.NS,1,0.5357,0.2807,0.1479,0.131278,0.102291,28
ARIMAX,AEGISLOG.NS,3,0.3846,-0.0053,0.9795,0.141046,0.116744,26
VARX,AEGISLOG.NS,3,0.5385,0.2496,0.2188,0.105639,0.085491,26
ARIMAX,AEGISLOG.NS,6,0.4783,-0.0642,0.7709,0.145064,0.122884,23
VARX,AEGISLOG.NS,6,0.4783,-0.2792,0.1971,0.127001,0.093584,23
ARIMAX,AEGISLOG.NS,12,0.5294,0.2321,0.37,0.122007,0.090138,17
VARX,AEGISLOG.NS,12,0.5294,-0.0092,0.9722,0.101989,0.081517,17
ARIMAX,KPRMILL.NS,1,0.3571,-0.0767,0.6982,0.089526,0.074039,28
ARIMAX,KPRMILL.NS,3,0.3846,-0.1817,0.3743,0.091374,0.076376,26
ARIMAX,KPRMILL.NS,6,0.3478,-0.0297,0.8931,0.08867,0.074947,23
ARIMAX,KPRMILL.NS,12,0.2941,0.4292,0.0855,0.093455,0.082978,17
ARIMAX,GREENLAM.NS,1,0.5357,0.1011,0.6086,0.100577,0.079944,28
ARIMAX,GREENLAM.NS,3,0.5385,0.2558,0.2073,0.092417,0.076345,26
ARIMAX,GREENLAM.NS,6,0.5652,0.1129,0.6081,0.099828,0.078427,23
ARIMAX,GREENLAM.NS,12,0.5882,0.1056,0.6868,0.107699,0.079302,17
ARIMAX,CAMLINFINE.NS,1,0.5714,0.1524,0.4389,0.198663,0.166148,28
ARIMAX,CAMLINFINE.NS,3,0.5769,0.2177,0.2855,0.19011,0.152178,26
ARIMAX,CAMLINFINE.NS,6,0.6087,0.3928,0.0638,0.174823,0.13766,23
ARIMAX,CAMLINFINE.NS,12,0.2941,-0.3975,0.1141,0.288579,0.252836,17
ARIMAX,SURYAROSNI.NS,1,0.5,0.2244,0.2511,0.135825,0.108209,28
ARIMAX,SURYAROSNI.NS,3,0.5,0.1665,0.4162,0.130008,0.101953,26
ARIMAX,SURYAROSNI.NS,6,0.4783,-0.2122,0.331,0.143315,0.115764,23
ARIMAX,SURYAROSNI.NS,12,0.4706,0.2636,0.3067,0.141311,0.112906,17
ARIMAX,EIDPARRY.NS,1,0.5714,-0.0495,0.8023,0.105124,0.086254,28
ARIMAX,EIDPARRY.NS,3,0.6538,0.1012,0.6227,0.098062,0.078656,26
ARIMAX,EIDPARRY.NS,6,0.7391,0.4728,0.0227,0.091792,0.075389,23
ARIMAX,EIDPARRY.NS,12,0.6471,-0.1772,0.4961,0.115806,0.101883,17
ARIMAX,BANDHANBNK.NS,1,0.3214,-0.203,0.3002,0.121611,0.092882,28
ARIMAX,BANDHANBNK.NS,3,0.4231,-0.0596,0.7725,0.111728,0.080694,26
ARIMAX,BANDHANBNK.NS,6,0.4348,-0.0132,0.9522,0.115732,0.079835,23
ARIMAX,BANDHANBNK.NS,12,0.4706,-0.2169,0.403,0.132381,0.096908,17
ARIMAX,ABREL.NS,1,0.6429,0.3654,0.0559,0.140796,0.112731,28
ARIMAX,ABREL.NS,3,0.6154,0.3248,0.1054,0.147774,0.118202,26
ARIMAX,ABREL.NS,6,0.4348,0.0319,0.885,0.183707,0.149298,23
ARIMAX,ABREL.NS,12,0.3529,0.0735,0.7793,0.203619,0.160903,17
ARIMAX,INDIGO.NS,1,0.3929,0.0585,0.7675,0.090694,0.07521,28
ARIMAX,INDIGO.NS,3,0.5,-0.0683,0.7402,0.089246,0.072821,26
ARIMAX,INDIGO.NS,6,0.6087,-0.1586,0.4699,0.091178,0.069707,23
ARIMAX,INDIGO.NS,12,0.4118,-0.234,0.3659,0.092824,0.065433,17
ARIMAX,MARATHON.NS,1,0.5357,0.1662,0.398,0.161931,0.12544,28
ARIMAX,MARATHON.NS,3,0.5385,0.067,0.7449,0.169692,0.130433,26
ARIMAX,MARATHON.NS,6,0.4348,-0.2351,0.2802,0.167226,0.136351,23
ARIMAX,MARATHON.NS,12,0.4706,-0.0968,0.7116,0.171148,0.132278,17
ARIMAX,LTTS.NS,1,0.5,0.008,0.9677,0.114757,0.090427,28
ARIMAX,LTTS.NS,3,0.5,0.1136,0.5805,0.10113,0.088236,26
ARIMAX,LTTS.NS,6,0.3913,0.0343,0.8767,0.10256,0.081985,23
ARIMAX,LTTS.NS,12,0.3529,0.025,0.9241,0.107316,0.086499,17
ARIMAX,ASTERDM.NS,1,0.4286,-0.1458,0.459,0.098915,0.080734,28
ARIMAX,ASTERDM.NS,3,0.5,-0.1279,0.5336,0.093842,0.07665,26
ARIMAX,ASTERDM.NS,6,0.8261,0.3363,0.1167,0.082348,0.065106,23
ARIMAX,ASTERDM.NS,12,0.4118,0.028,0.9151,0.095735,0.071474,17
